Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,3,18,Select your ninth subject,,No,Multiple Choice (single Select),,,
,3,19,Select your score for your ninth subject,,No,Multiple Choice (single Select),,,
,3,20,Select your tenth subject,,No,Multiple Choice (single Select),,,
,3,21,Select your score for your tenth subject,,No,Multiple Choice (single Select),,,
,4,1,Did you take a technical program,,Yes,Multiple Choice (single Select),Yes,Yes,5
,,,,,,,No,,7
,5,1,Select your technical specialization,,Yes,Multiple Choice (single Select),Integrated (integrado),,
,,,,,,,Concomitant (concomitante),,
,,,,,,,Sequential (subsequente),,
,5,2,How many technical course are you submitting?,Indicate total number of technical courses shown on your transcript/report card,Yes,Text Field (short),,,
,5,3,Indicate your first technical course,Input  exacly as it appears/is written on on your transcript/report car,Yes,Text Field (short),,,
,5,4,Select your score for your first course,,Yes,Multiple Choice (single Select),,,
,5,5,Indicate your second technical course,Input  exacly as it appears/is written on on your transcript/report car,Yes,Text Field (short),,,
,5,6,Select your score for your second technical course,,Yes,Multiple Choice (single Select),,,
,5,7,Indicate your third technical course,Input  exacly as it appears/is written on on your transcript/report car,Yes,Text Field (short),,,
,5,8,Select your score for your third technical course,,Yes,Multiple Choice (single Select),,,
,5,9,Indicate your fourth technical course,Input  exacly as it appears/is written on on your transcript/report car,Yes,Text Field (short),,,
,5,10,Select your score for your fourth technical course,,Yes,Multiple Choice (single Select),,,
,5,11,Indicate your fifth technical course,Input  exacly as it appears/is written on on your transcript/report car,Yes,Text Field (short),,,
,5,12,Select your score for your fifth technical course,,Yes,Multiple Choice (single Select),,,
,5,13,Indicate your sixth technical course,Input  exacly as it appears/is written on on your transcript/report car,No,Text Field (short),,,
,5,14,Select your score for your sixth technical course,,No,Multiple Choice (single Select),,,
,5,15,Indicate your seventh technical course,Input  exacly as it appears/is written on on your transcript/report car,No,Text Field (short),,,
,5,16,Select your score for your seventh technical course,,No,Multiple Choice (single Select),,,
,5,17,Indicate your eighth technical course,Input  exacly as it appears/is written on on your transcript/report car,No,Text Field (short),,,
,5,18,Select your score for your eighth technical course,,No,Multiple Choice (single Select),,,
,5,19,Indicate your ninth technical course,Input  exacly as it appears/is written on on your transcript/report car,No,Text Field (short),,,
,5,20,Select your score for your ninth technical course,,No,Multiple Choice (single Select),,,
,5,21,Indicate your tenth technical course,Input  exacly as it appears/is written on on your transcript/report car,No,Text Field (short),,,
,5,22,Select your score for your tenth technical course,,No,Multiple Choice (single Select),,Yes,7
,6,1,Select your score for Languages,,Yes,Multiple Choice (single Select),,,
,6,2,Select your score for Mathematics,,Yes,Multiple Choice (single Select),,,
,6,3,Select your score for Social Sciences,,Yes,Multiple Choice (single Select),,,
,6,4,Select your score for Sciences,,Yes,Multiple Choice (single Select),,,
,7,1,Indicate your High School/ ENCCEJA aggregate score,If you have it.,No,Text Field (short),,,
,8,1,Did you take the Exame Nacional do Ensino Médio (ENEM)?,,Yes,Multiple Choice (single Select),Yes,Yes,9
,,,,,,,No,,0
,9,1,"Indicate your score in Languages, Codes, and Related Technologies. 0 - 200",,Yes,Text Field (short),,,
,9,2,What is your score in Mathematics and Technologies? 0 - 200,,Yes,Text Field (short),,,
,9,3,What is your score in Natural Sciences and Technologies? 0 - 200,,Yes,Text Field (short),,,
,9,4,What is your score in Applied Social Sciences and Humanities? 0 - 200,,Yes,Text Field (short),,,
,9,5,What is your score in Compulsory Essay?                  0 - 1000,,Yes,Text Field (short),,,
,9,6,Indicate your aggregate/total score out of the 1000 Marks.,Only if you have it.,No,Text Field (short),,,
